iP,jD,Pset_req,d,P_calc,ZVS_pri,ZVS_sec,thumb_path
1,17,0,1.00033333333,-2.34414161657e-16,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000001.png
2,17,2.58481136213e-05,1.00033333333,-2.12588519126e-17,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000026.png
3,17,5.16962272426e-05,1.00033333333,8.71038716964e-16,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000052.png
4,17,7.75443408639e-05,1.00033333333,0.000120878016477,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000078.png
5,17,0.000103392454485,1.00033333333,0.00013961002319,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000103.png
6,17,0.000129240568106,1.00033333333,0.000156079102918,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000129.png
7,17,0.000155088681728,1.00033333333,0.000170976705573,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000155.png
8,17,0.000180936795349,1.00033333333,0.000184679985652,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000181.png
9,17,0.00020678490897,1.00033333333,0.000197440379487,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000207.png
10,17,0.000232633022592,1.00033333333,0.000209446464327,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1000333_P000233.png
1,18,0,1.06279166667,1.00175772346e-06,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P000001.png
2,18,0.00458298799503,1.06279166667,0.00460608201248,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P004583.png
3,18,0.00916597599005,1.06279166667,0.00917970707471,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P009166.png
4,18,0.0137489639851,1.06279166667,0.0137801792439,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P013749.png
5,18,0.0183319519801,1.06279166667,0.0182934984912,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P018332.png
6,18,0.0229149399751,1.06279166667,0.0229428564373,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P022915.png
7,18,0.0274979279702,1.06279166667,0.0275256308868,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P027498.png
8,18,0.0320809159652,1.06279166667,0.0321303772223,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P032081.png
9,18,0.0366639039602,1.06279166667,0.0367188282988,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P036664.png
10,18,0.0412468919552,1.06279166667,0.0412585271662,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1062792_P041247.png
1,19,0,1.12525,7.77794748817e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P000001.png
2,19,0.00863422898861,1.12525,0.00865388579276,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P008634.png
3,19,0.0172684579772,1.12525,0.0172741142855,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P017268.png
4,19,0.0259026869658,1.12525,0.0258751100353,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P025903.png
5,19,0.0345369159544,1.12525,0.0344934293955,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P034537.png
6,19,0.0431711449431,1.12525,0.0430903947543,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P043171.png
7,19,0.0518053739317,1.12525,0.0518049485375,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P051805.png
8,19,0.0604396029203,1.12525,0.060393923823,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P060440.png
9,19,0.0690738319089,1.12525,0.0690964571419,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P069074.png
10,19,0.0777080608975,1.12525,0.0777018368258,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1125250_P077708.png
1,20,0,1.18770833333,1.19413406128e-06,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P000001.png
2,20,0.0122593826116,1.18770833333,0.0122816688203,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P012259.png
3,20,0.0245187652232,1.18770833333,0.0244875101276,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P024519.png
4,20,0.0367781478348,1.18770833333,0.0367554464062,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P036778.png
5,20,0.0490375304464,1.18770833333,0.0490133071786,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P049038.png
6,20,0.061296913058,1.18770833333,0.0613309492875,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P061297.png
7,20,0.0735562956696,1.18770833333,0.0735235804868,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P073556.png
8,20,0.0858156782812,1.18770833333,0.0858589853399,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P085816.png
9,20,0.0980750608928,1.18770833333,0.0981104276417,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P098075.png
10,20,0.110334443504,1.18770833333,0.110365004545,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1187708_P110334.png
1,21,0,1.25016666667,1.09981401781e-06,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1250167_P000001.png
2,21,0.0155223108459,1.25016666667,0.0155040782091,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1250167_P015522.png
3,21,0.0310446216918,1.25016666667,0.0310067423717,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1250167_P031045.png
4,21,0.0465669325378,1.25016666667,0.046546878769,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1250167_P046567.png
5,21,0.0620892433837,1.25016666667,0.0621210308427,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Boost_Lm10_d1250167_P062089.png
