iP,jD,Pset_req,d,P_calc,ZVS_pri,ZVS_sec,thumb_path
1,1,0,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
2,1,7.74926187885e-08,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
3,1,1.54985237577e-07,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
4,1,2.32477856366e-07,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
5,1,3.09970475154e-07,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
6,1,3.87463093943e-07,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
7,1,4.64955712731e-07,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
8,1,5.4244833152e-07,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
9,1,6.19940950308e-07,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
10,1,6.97433569097e-07,0.001,6.27752987484e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d001000_P000001.png
1,2,0,0.0634583333333,9.72975238515e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d063458_P000001.png
2,2,0.000292549443691,0.0634583333333,0.00029057666242,1,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_10\hover_thumbs\Buck_Lm10_d063458_P000293.png
