iP,jD,Pset_req,d,P_calc,ZVS_pri,ZVS_sec,thumb_path
1,1,0,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
2,1,7.7492618866e-08,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
3,1,1.54985237732e-07,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
4,1,2.32477856598e-07,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
5,1,3.09970475464e-07,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
6,1,3.8746309433e-07,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
7,1,4.64955713196e-07,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
8,1,5.42448332062e-07,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
9,1,6.19940950928e-07,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
10,1,6.97433569794e-07,0.001,6.27752987486e-07,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d001000_P000001.png
1,2,0,0.0634583333333,0.00262680186298,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P000001.png
2,2,0.000292624222106,0.0634583333333,0.00262680186298,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P000293.png
3,2,0.000585248444212,0.0634583333333,0.00262680186298,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P000585.png
4,2,0.000877872666318,0.0634583333333,0.00262680186298,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P000878.png
5,2,0.00117049688842,0.0634583333333,0.00262680186298,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P001170.png
6,2,0.00146312111053,0.0634583333333,0.00262680186298,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P001463.png
7,2,0.00175574533264,0.0634583333333,0.00262680186298,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P001756.png
8,2,0.00204836955474,0.0634583333333,0.00262680186298,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P002048.png
9,2,0.00234099377685,0.0634583333333,0.00262680186298,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P002341.png
10,2,0.00263361799896,0.0634583333333,0.00263706595423,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d063458_P002634.png
1,3,0,0.125916666667,0.00968046665395,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P000001.png
2,3,0.0010771644746,0.125916666667,0.00968046665395,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P001077.png
3,3,0.0021543289492,0.125916666667,0.00968046665395,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P002154.png
4,3,0.00323149342381,0.125916666667,0.00968046665395,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P003231.png
5,3,0.00430865789841,0.125916666667,0.00968046665395,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P004309.png
6,3,0.00538582237301,0.125916666667,0.00968046665395,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P005386.png
7,3,0.00646298684761,0.125916666667,0.00968046665395,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P006463.png
8,3,0.00754015132221,0.125916666667,0.00968046665395,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P007540.png
9,3,0.00861731579681,0.125916666667,0.00968046665395,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P008617.png
10,3,0.00969448027142,0.125916666667,0.00969576917508,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d125917_P009694.png
1,4,0,0.188375,0.020108213072,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d188375_P000001.png
2,4,0.00224910426674,0.188375,0.020108213072,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d188375_P002249.png
3,4,0.00449820853348,0.188375,0.020108213072,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d188375_P004498.png
4,4,0.00674731280023,0.188375,0.020108213072,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d188375_P006747.png
5,4,0.00899641706697,0.188375,0.020108213072,0,1,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_eq_results\Lm_1e+06\hover_thumbs\TZM_Lm1e+06_d188375_P008996.png
