iP,jD,Pset_req,d,P_calc,ZVS_pri,ZVS_sec,thumb_path
1,1,0,0.001,9.05114239886e-06,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000001.png
2,1,5.81776417331e-05,0.001,9.05114239886e-06,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000058.png
3,1,0.000116355283466,0.001,9.05114239886e-06,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000116.png
4,1,0.000174532925199,0.001,9.05114239886e-06,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000175.png
5,1,0.000232710566933,0.001,9.05114239886e-06,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000233.png
6,1,0.000290888208666,0.001,3.09174001769e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000291.png
7,1,0.000349065850399,0.001,3.09174001769e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000349.png
8,1,0.000407243492132,0.001,3.09174001769e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000407.png
9,1,0.000465421133865,0.001,3.09174001769e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000465.png
10,1,0.000523598775598,0.001,6.0780439255e-05,1,0,C:\Users\lal\Working_Folder_C\SimulinkProject_ModularDAB3\05_Scripts\Analysis\DAB3_3level_optimization\DAB3_22_results\Lm_1e+06\hover_thumbs\3-3level_Lm1e+06_d001000_P000524.png
